file_name,emiten_code,year,status,error_message,total_pages,text_pages,image_pages,ocr_pages,direct_extract_pages,total_extracted_chars,ocr_input_tokens,ocr_output_tokens,ocr_estimated_cost_usd,processing_time_seconds,timestamp_processed,note
BSBK_2022.pdf,BSBK,2022,success,,2,0,2,2,0,8579,2258,1887,0.003395,13.85,2026-03-18T16:42:08.953535,
BSBK_2023.pdf,BSBK,2023,success,,2,0,2,2,0,8799,2258,1954,0.0034955,18.42,2026-03-18T16:42:18.644666,
BSBK_2024.pdf,BSBK,2024,success,,2,0,2,2,0,8801,2258,1929,0.003458,18.32,2026-03-18T16:42:19.130182,
BSDE_2022.pdf,BSDE,2022,success,,3,0,3,3,0,14398,3387,3121,0.00552825,19.52,2026-03-18T16:42:21.588546,
BSDE_2023.pdf,BSDE,2023,success,,2,0,2,2,0,8935,2258,1829,0.003308,12.71,2026-03-18T16:42:21.660785,
BSIM_2022.pdf,BSIM,2022,success,,662,640,22,0,662,2300116,0,0,0.0,15.37,2026-03-18T16:42:34.504165,large_doc_pymupdf_only
BSDE_2024.pdf,BSDE,2024,success,,2,2,0,2,0,8945,2258,1830,0.0033095,16.47,2026-03-18T16:42:35.112351,
BSIM_2023.pdf,BSIM,2023,success,,687,669,18,0,687,2652219,0,0,0.0,24.72,2026-03-18T16:42:46.466271,large_doc_pymupdf_only
BSML_2022.pdf,BSML,2022,success,,226,210,16,0,226,718633,0,0,0.0,13.75,2026-03-18T16:42:48.495956,large_doc_pymupdf_only
BSML_2023.pdf,BSML,2023,success,,301,281,20,0,301,898173,0,0,0.0,13.16,2026-03-18T16:42:48.538858,large_doc_pymupdf_only
BSIM_2024.pdf,BSIM,2024,success,,770,745,25,0,770,2976501,0,0,0.0,28.37,2026-03-18T16:42:50.187807,large_doc_pymupdf_only
BSML_2024.pdf,BSML,2024,success,,327,318,9,0,327,958264,0,0,0.0,12.31,2026-03-18T16:42:58.956234,large_doc_pymupdf_only
BSSR_2022.pdf,BSSR,2022,success,,299,279,20,0,299,993611,0,0,0.0,16.13,2026-03-18T16:43:04.831152,large_doc_pymupdf_only
BSSR_2024.pdf,BSSR,2024,success,,324,283,41,0,324,978809,0,0,0.0,21.05,2026-03-18T16:43:09.961101,large_doc_pymupdf_only
BTEK_2022.pdf,BTEK,2022,success,,162,148,14,0,162,507638,0,0,0.0,11.59,2026-03-18T16:43:10.851028,large_doc_pymupdf_only
BSWD_2022.pdf,BSWD,2022,success,,263,244,19,0,263,1505743,0,0,0.0,23.25,2026-03-18T16:43:13.813356,large_doc_pymupdf_only
BTEK_2023.pdf,BTEK,2023,success,,175,156,19,0,175,557467,0,0,0.0,10.14,2026-03-18T16:43:15.613088,large_doc_pymupdf_only
BTON_2022.pdf,BTON,2022,success,,146,139,7,0,146,427622,0,0,0.0,6.04,2026-03-18T16:43:20.154554,large_doc_pymupdf_only
BTEK_2024.pdf,BTEK,2024,success,,292,269,23,0,292,738960,0,0,0.0,13.28,2026-03-18T16:43:23.558543,large_doc_pymupdf_only
BTON_2023.pdf,BTON,2023,success,,196,187,9,0,196,632267,0,0,0.0,10.01,2026-03-18T16:43:25.892851,large_doc_pymupdf_only
BTEL_2022.pdf,BTEL,2022,success,,2,0,2,2,0,7052,2258,1598,0.0029615,17.78,2026-03-18T16:43:28.910397,
