file_name,emiten_code,year,page_number,classification,extraction_method,raw_text_length,ocr_text_length,final_text_length,image_count,image_coverage_ratio,ocr_input_tokens,ocr_output_tokens,processing_time_ms,error
MDIY_2024.pdf,MDIY,2024,2,text,pymupdf,3925,0,3925,1,0.0048,0,0,4,
MDKA_2022.pdf,MDKA,2022,1,text,pymupdf,4875,0,4875,1,0.0043,0,0,4,
MDKA_2023.pdf,MDKA,2023,1,text,pymupdf,4711,0,4711,1,0.0043,0,0,4,
MDKA_2023.pdf,MDKA,2023,2,text,pymupdf,4519,0,4519,1,0.0043,0,0,4,
MDKA_2024.pdf,MDKA,2024,1,text,pymupdf,3806,0,3806,1,0.0043,0,0,3,
MDKA_2024.pdf,MDKA,2024,2,text,pymupdf,3955,0,3955,1,0.0043,0,0,3,
MDKA_2024.pdf,MDKA,2024,3,text,pymupdf,4437,0,4437,1,0.0043,0,0,4,
MDIA_2022.pdf,MDIA,2022,1,image,gemini_ocr,0,3285,3285,1,1.0,1129,815,6673,
MDKI_2022.pdf,MDKI,2022,1,image,gemini_ocr,0,3794,3794,1,1.0,1129,719,5641,
MDKI_2023.pdf,MDKI,2023,1,image,gemini_ocr,0,4276,4276,1,0.9973,1129,844,5751,
MDLA_2024.pdf,MDLA,2024,1,text,pymupdf,4071,0,4071,1,0.0254,0,0,3,
MDLA_2024.pdf,MDLA,2024,2,text,pymupdf,3440,0,3440,1,0.0254,0,0,2,
MDLA_2024.pdf,MDLA,2024,3,text,pymupdf,2081,0,2081,1,0.0254,0,0,1,
MDLN_2022.pdf,MDLN,2022,1,text,pymupdf,5944,0,5944,1,0.0043,0,0,5,
MDLN_2023.pdf,MDLN,2023,1,text,pymupdf,4716,0,4716,1,0.0043,0,0,4,
MDLN_2024.pdf,MDLN,2024,1,text,pymupdf,4718,0,4718,1,0.0043,0,0,4,
MCOL_2023.pdf,MCOL,2023,1,image,gemini_ocr,0,4348,4348,2,2.0018,1129,968,7898,
MCOL_2023.pdf,MCOL,2023,2,image,gemini_ocr,0,4006,4006,1,1.0009,1129,823,7200,
MDKI_2024.pdf,MDKI,2024,1,image,gemini_ocr,0,3641,3641,2,1.9993,1129,720,4818,
MDRN_2024.pdf,MDRN,2024,1,text,pymupdf,4906,0,4906,1,1.0,0,0,4,
MCOL_2024.pdf,MCOL,2024,1,image,gemini_ocr,0,4355,4355,12,1.005,1129,968,8673,
MCOL_2024.pdf,MCOL,2024,2,image,gemini_ocr,0,4995,4995,12,1.005,1129,1019,18344,
MEDC_2023.pdf,MEDC,2023,1,text,pymupdf,2920,0,2920,1,0.0199,0,0,2,
MEDC_2023.pdf,MEDC,2023,2,text,pymupdf,2827,0,2827,1,0.0199,0,0,2,
MEDC_2023.pdf,MEDC,2023,3,text,pymupdf,3087,0,3087,1,0.0199,0,0,2,
MEDC_2023.pdf,MEDC,2023,4,text,pymupdf,2749,0,2749,1,0.0199,0,0,2,
MEDC_2023.pdf,MEDC,2023,5,text,pymupdf,3322,0,3322,1,0.0199,0,0,3,
MEDC_2024.pdf,MEDC,2024,1,text,pymupdf,2884,0,2884,1,0.0254,0,0,2,
MEDC_2024.pdf,MEDC,2024,2,text,pymupdf,2876,0,2876,1,0.0254,0,0,2,
MEDC_2024.pdf,MEDC,2024,3,text,pymupdf,2258,0,2258,1,0.0254,0,0,1,
MDRN_2022.pdf,MDRN,2022,1,image,gemini_ocr,0,5343,5343,1,0.928,1129,1278,8000,
MDRN_2022.pdf,MDRN,2022,2,image,gemini_ocr,0,4355,4355,1,0.928,1129,1039,7313,
MDRN_2023.pdf,MDRN,2023,1,image,gemini_ocr,0,5154,5154,1,0.928,1129,1258,7149,
MDRN_2023.pdf,MDRN,2023,2,image,gemini_ocr,0,4541,4541,1,0.928,1129,968,6894,
MEGA_2023.pdf,MEGA,2023,1,image,gemini_ocr,0,4582,4582,1,0.9852,1129,950,7455,
MEDC_2022.pdf,MEDC,2022,1,image,gemini_ocr,119,2757,2757,1,0.9999,1129,569,4482,
MEDC_2022.pdf,MEDC,2022,2,image,gemini_ocr,129,3927,3927,1,0.9999,1129,959,6318,
MEDC_2022.pdf,MEDC,2022,3,image,gemini_ocr,119,3592,3592,1,0.9999,1129,846,6382,
MEDC_2022.pdf,MEDC,2022,4,image,gemini_ocr,129,3023,3023,1,0.9999,1129,682,6238,
MEGA_2024.pdf,MEGA,2024,1,image,gemini_ocr,0,3871,3871,2,2.0018,1129,852,7704,
MEGA_2024.pdf,MEGA,2024,2,image,gemini_ocr,0,4274,4274,2,2.0018,1129,831,6938,
MEGA_2022.pdf,MEGA,2022,1,image,gemini_ocr,0,4099,4099,1,1.0024,1129,923,11238,
MEGA_2022.pdf,MEGA,2022,2,image,gemini_ocr,0,5090,5090,1,1.0024,1129,1002,8186,
MENN_2024.pdf,MENN,2024,1,text,pymupdf,3620,0,3620,2,0.1505,0,0,3,
MERK_2022.pdf,MERK,2022,1,text,pymupdf,3961,0,3961,16,1.0079,0,0,3,
MERK_2022.pdf,MERK,2022,2,text,pymupdf,5966,0,5966,18,1.009,0,0,4,
MEJA_2023.pdf,MEJA,2023,1,image,gemini_ocr,173,4721,4721,2,1.567,1129,1149,6265,
MEJA_2023.pdf,MEJA,2023,2,image,gemini_ocr,191,4365,4365,1,0.8376,1129,890,6598,
MERK_2023.pdf,MERK,2023,1,image,gemini_ocr,106,4681,4681,1,0.8471,1129,889,6040,
MEJA_2024.pdf,MEJA,2024,1,image,gemini_ocr,173,4718,4718,2,1.567,1129,1150,6034,
MEJA_2024.pdf,MEJA,2024,2,image,gemini_ocr,191,4308,4308,1,0.8376,1129,976,6662,
MERK_2024.pdf,MERK,2024,1,image,gemini_ocr,82,4791,4791,1,0.7231,1129,915,8707,
META_2024.pdf,META,2024,1,text,pymupdf,2811,0,2811,1,0.0254,0,0,2,
META_2024.pdf,META,2024,2,text,pymupdf,3677,0,3677,1,0.0254,0,0,3,
MENN_2023.pdf,MENN,2023,1,image,gemini_ocr,83,3907,3907,4,1.4411,1129,946,14422,
META_2022.pdf,META,2022,1,image,gemini_ocr,0,4078,4078,1,0.9999,1129,807,6635,
META_2022.pdf,META,2022,2,image,gemini_ocr,0,2850,2850,1,0.9999,1129,694,4710,
MFIN_2024.pdf,MFIN,2024,1,text,pymupdf,7495,0,7495,0,0.0,0,0,6,
MFIN_2022.pdf,MFIN,2022,1,image,gemini_ocr,0,3955,3955,2,2.0018,1129,966,6861,
MFIN_2022.pdf,MFIN,2022,2,image,gemini_ocr,0,3843,3843,1,1.0009,1129,800,6006,
