file_name,emiten_code,year,status,error_message,total_pages,text_pages,image_pages,ocr_pages,direct_extract_pages,total_extracted_chars,ocr_input_tokens,ocr_output_tokens,ocr_estimated_cost_usd,processing_time_seconds,timestamp_processed
AMAR_2023.pdf,AMAR,2023,success,,2,2,0,0,2,6369,0,0,0.0,0.02,2026-03-14T17:59:57.523719
AMAR_2024.pdf,AMAR,2024,success,,2,2,0,0,2,6194,0,0,0.0,0.03,2026-03-14T17:59:57.549295
AMAN_2022.pdf,AMAN,2022,success,,1,0,1,1,0,4438,1129,961,0.00172375,6.79,2026-03-14T17:59:57.712145
AMFG_2023.pdf,AMFG,2023,success,,2,2,0,0,2,9161,0,0,0.0,0.16,2026-03-14T17:59:58.133935
AMAN_2023.pdf,AMAN,2023,success,,1,0,1,1,0,4291,1129,938,0.00168925,6.93,2026-03-14T18:00:02.025896
AMIN_2022.pdf,AMIN,2022,success,,2,2,0,0,2,5836,0,0,0.0,0.2,2026-03-14T18:00:02.229746
AMIN_2023.pdf,AMIN,2023,success,,2,2,0,0,2,9346,0,0,0.0,0.04,2026-03-14T18:00:02.265621
AMAN_2024.pdf,AMAN,2024,success,,1,0,1,1,0,4452,1129,968,0.00173425,6.36,2026-03-14T18:00:03.579594
AMMN_2024.pdf,AMMN,2024,success,,2,2,0,0,2,9624,0,0,0.0,0.05,2026-03-14T18:00:03.630136
AMFG_2022.pdf,AMFG,2022,success,,2,0,2,2,0,9070,2258,1785,0.003242,11.29,2026-03-14T18:00:08.838520
AMFG_2024.pdf,AMFG,2024,success,,2,0,2,2,0,9641,2258,1893,0.003404,13.19,2026-03-14T18:00:11.323512
AMMN_2023.pdf,AMMN,2023,success,,2,0,2,2,0,9367,2258,1991,0.003551,11.23,2026-03-14T18:00:13.500219
AMOR_2022.pdf,AMOR,2022,success,,3,3,0,0,3,9288,0,0,0.0,0.05,2026-03-14T18:00:13.555766
AMMS_2022.pdf,AMMS,2022,success,,2,0,2,2,0,10402,2258,2141,0.003776,13.04,2026-03-14T18:00:16.670430
AMMS_2023.pdf,AMMS,2023,success,,2,0,2,2,0,10172,2258,2184,0.0038405,12.59,2026-03-14T18:00:21.430350
AMMS_2024.pdf,AMMS,2024,success,,2,0,2,2,0,10250,2258,2126,0.0037535,15.3,2026-03-14T18:00:26.623689
AMOR_2024.pdf,AMOR,2024,success,,3,3,0,0,3,9288,0,0,0.0,0.5,2026-03-14T18:00:27.166051
AMRT_2023.pdf,AMRT,2023,success,,2,2,0,0,2,6595,0,0,0.0,0.45,2026-03-14T18:00:27.175047
AMRT_2022.pdf,AMRT,2022,success,,3,3,0,0,3,9797,0,0,0.0,0.46,2026-03-14T18:00:27.179656
AMRT_2024.pdf,AMRT,2024,success,,2,2,0,0,2,6599,0,0,0.0,0.15,2026-03-14T18:00:27.318325
ANDI_2024.pdf,ANDI,2024,success,,1,1,0,0,1,4514,0,0,0.0,0.24,2026-03-14T18:00:27.813890
ANDI_2023.pdf,ANDI,2023,success,,2,0,2,2,0,7923,2258,1947,0.003485,13.19,2026-03-14T18:00:40.543609
ANTM_2023.pdf,ANTM,2023,success,,4,4,0,0,4,1044,0,0,0.0,0.04,2026-03-14T18:00:40.582950
ANDI_2022.pdf,ANDI,2022,success,,2,0,2,2,0,8057,2258,2000,0.0035645,14.16,2026-03-14T18:00:41.407154
APEX_2022.pdf,APEX,2022,success,,1,1,0,0,1,312,0,0,0.0,0.06,2026-03-14T18:00:41.464812
AMOR_2023.pdf,AMOR,2023,success,,2,0,2,2,0,8945,2258,1866,0.0033635,15.33,2026-03-14T18:00:41.972195
APEX_2024.pdf,APEX,2024,success,,1,1,0,0,1,300,0,0,0.0,0.05,2026-03-14T18:00:42.018178
APEX_2023.pdf,APEX,2023,success,,1,0,1,1,0,4289,1129,837,0.00153775,6.02,2026-03-14T18:00:47.487596
